14,1,72
14,2,78
14,5,1
14,7,25
14,8,4
14,9,4
14,11,1
14,22,1
14,24,5
14,27,5
14,28,4
14,34,1
14,39,2
14,41,1
17,3,21
17,7,4
17,9,4
17,11,3
17,14,1
17,24,11
17,28,7
17,43,13
18,4,1
18,29,2
18,30,1
18,31,1
14,46,11
14,33,1
14,35,1
14,29,1
14,43,1
14,31,1
14,3,6
14,4,3
19,1,3
19,2,12
19,5,1
19,16,8
19,17,1
19,18,8
19,21,7
19,22,2
19,29,2
19,38,1
19,39,1
19,40,1
19,8,1
19,9,1
19,11,1
19,24,12
19,45,11
19,27,1
19,46,1
19,31,1
19,41,1
19,33,5
19,3,4
19,14,4
19,43,16
19,28,1
19,35,1
17,2,17
17,35,1
17,45,7
17,5,5
17,1,13
17,8,9
17,6,4
17,36,4
14,16,2
14,18,3
14,40,2
14,45,3
14,47,2
14,17,1
14,21,2
14,38,2
14,25,1
14,10,1
14,6,1
14,15,4
14,48,122
20,49,13
20,45,4
20,1,5
21,1,2
21,2,9
21,50,4
21,48,2
21,24,1
21,52,1
21,51,1
21,9,1
21,11,1
21,22,1
21,20,1
14,50,12
14,51,1
14,52,1
22,3,1
22,48,1
22,46,1
22,50,11
22,27,2
22,2,1
